Item,Language,Participant,Gender,Age,Rating,Bias
chef,Hungarian,hu_19,female,25-35,-1,male
chef,Hungarian,hu_20,female,25-35,-1,male
chef,Hungarian,hu_21,female,25-35,0,male
chef,Hungarian,hu_22,male,25-35,0,male
chef,Hungarian,hu_23,male,25-35,0,male
chef,Hungarian,hu_24,male,25-35,-1,male
accountant,Hungarian,hu_1,male,25-35,1,female
accountant,Hungarian,hu_2,male,45-55,0,female
accountant,Hungarian,hu_3,male,25-35,0,female
accountant,Hungarian,hu_4,male,35-45,2,female
accountant,Hungarian,hu_5,male,25-35,0,female
accountant,Hungarian,hu_6,male,25-35,1,female
accountant,Hungarian,hu_7,female,35-45,-1,female
accountant,Hungarian,hu_8,female,45-55,1,female
accountant,Hungarian,hu_9,male,25-35,2,female
accountant,Hungarian,hu_11,female,45-55,0,female
accountant,Hungarian,hu_12,male,25-35,-1,female
accountant,Hungarian,hu_14,female,25-35,0,female
accountant,Hungarian,hu_15,female,35-45,1,female
accountant,Hungarian,hu_16,female,25-35,1,female
accountant,Hungarian,hu_17,female,45-55,0,female
accountant,Hungarian,hu_18,female,45-55,0,female
accountant,Hungarian,hu_19,female,25-35,0,female
accountant,Hungarian,hu_20,female,25-35,2,female
accountant,Hungarian,hu_21,female,25-35,0,female
accountant,Hungarian,hu_22,male,25-35,1,female
accountant,Hungarian,hu_23,male,25-35,1,female
accountant,Hungarian,hu_24,male,25-35,0,female
professor,Hungarian,hu_1,male,25-35,-1,male
professor,Hungarian,hu_2,male,45-55,-2,male
professor,Hungarian,hu_3,male,25-35,0,male
professor,Hungarian,hu_4,male,35-45,-2,male
professor,Hungarian,hu_5,male,25-35,0,male
professor,Hungarian,hu_6,male,25-35,0,male
professor,Hungarian,hu_7,female,35-45,-1,male
professor,Hungarian,hu_8,female,45-55,-2,male
professor,Hungarian,hu_9,male,25-35,-3,male
professor,Hungarian,hu_11,female,45-55,-2,male
professor,Hungarian,hu_12,male,25-35,-1,male
professor,Hungarian,hu_14,female,25-35,0,male
professor,Hungarian,hu_15,female,35-45,-1,male
professor,Hungarian,hu_16,female,25-35,-1,male
professor,Hungarian,hu_17,female,45-55,0,male
professor,Hungarian,hu_18,female,45-55,0,male
professor,Hungarian,hu_19,female,25-35,0,male
professor,Hungarian,hu_20,female,25-35,-1,male
professor,Hungarian,hu_21,female,25-35,0,male
professor,Hungarian,hu_22,male,25-35,-1,male
professor,Hungarian,hu_23,male,25-35,-1,male
professor,Hungarian,hu_24,male,25-35,-1,male
architect,Hungarian,hu_1,male,25-35,-3,male
architect,Hungarian,hu_2,male,45-55,-2,male
architect,Hungarian,hu_3,male,25-35,-2,male
architect,Hungarian,hu_4,male,35-45,-2,male
architect,Hungarian,hu_5,male,25-35,0,male
architect,Hungarian,hu_6,male,25-35,-1,male
architect,Hungarian,hu_7,female,35-45,-1,male
architect,Hungarian,hu_8,female,45-55,-2,male
architect,Hungarian,hu_9,male,25-35,-2,male
architect,Hungarian,hu_11,female,45-55,0,male
architect,Hungarian,hu_12,male,25-35,-2,male
architect,Hungarian,hu_14,female,25-35,0,male
architect,Hungarian,hu_15,female,35-45,-1,male
architect,Hungarian,hu_16,female,25-35,-1,male
architect,Hungarian,hu_17,female,45-55,-2,male
architect,Hungarian,hu_18,female,45-55,0,male
architect,Hungarian,hu_19,female,25-35,-1,male
architect,Hungarian,hu_20,female,25-35,-1,male
architect,Hungarian,hu_21,female,25-35,-1,male
architect,Hungarian,hu_22,male,25-35,-1,male
architect,Hungarian,hu_23,male,25-35,0,male
architect,Hungarian,hu_24,male,25-35,-1,male
scientist,Hungarian,hu_1,male,25-35,0,male
scientist,Hungarian,hu_2,male,45-55,-1,male
scientist,Hungarian,hu_3,male,25-35,0,male
scientist,Hungarian,hu_4,male,35-45,-1,male
scientist,Hungarian,hu_5,male,25-35,0,male
scientist,Hungarian,hu_6,male,25-35,-1,male
scientist,Hungarian,hu_7,female,35-45,-1,male
scientist,Hungarian,hu_8,female,45-55,-2,male
scientist,Hungarian,hu_9,male,25-35,0,male
scientist,Hungarian,hu_11,female,45-55,0,male
scientist,Hungarian,hu_12,male,25-35,0,male
scientist,Hungarian,hu_14,female,25-35,0,male
scientist,Hungarian,hu_15,female,35-45,0,male
scientist,Hungarian,hu_16,female,25-35,-1,male
scientist,Hungarian,hu_17,female,45-55,0,male
scientist,Hungarian,hu_18,female,45-55,0,male
scientist,Hungarian,hu_19,female,25-35,0,male
scientist,Hungarian,hu_20,female,25-35,-1,male
scientist,Hungarian,hu_21,female,25-35,0,male
scientist,Hungarian,hu_22,male,25-35,0,male
scientist,Hungarian,hu_23,male,25-35,-1,male
scientist,Hungarian,hu_24,male,25-35,0,male
nurse,Hungarian,hu_1,male,25-35,1,female
nurse,Hungarian,hu_2,male,45-55,0,female
nurse,Hungarian,hu_3,male,25-35,1,female
nurse,Hungarian,hu_4,male,35-45,3,female
nurse,Hungarian,hu_5,male,25-35,-3,female
nurse,Hungarian,hu_6,male,25-35,0,female
nurse,Hungarian,hu_7,female,35-45,-1,female
nurse,Hungarian,hu_8,female,45-55,2,female
nurse,Hungarian,hu_9,male,25-35,2,female
nurse,Hungarian,hu_11,female,45-55,0,female
nurse,Hungarian,hu_12,male,25-35,1,female
nurse,Hungarian,hu_14,female,25-35,0,female
nurse,Hungarian,hu_15,female,35-45,2,female
nurse,Hungarian,hu_16,female,25-35,1,female
nurse,Hungarian,hu_17,female,45-55,0,female
nurse,Hungarian,hu_18,female,45-55,-1,female
nurse,Hungarian,hu_19,female,25-35,-1,female
nurse,Hungarian,hu_20,female,25-35,1,female
nurse,Hungarian,hu_21,female,25-35,0,female
nurse,Hungarian,hu_22,male,25-35,1,female
nurse,Hungarian,hu_23,male,25-35,0,female
nurse,Hungarian,hu_24,male,25-35,0,female
cashier,Hungarian,hu_1,male,25-35,1,female
cashier,Hungarian,hu_2,male,45-55,2,female
cashier,Hungarian,hu_3,male,25-35,0,female
cashier,Hungarian,hu_4,male,35-45,2,female
cashier,Hungarian,hu_5,male,25-35,0,female
cashier,Hungarian,hu_6,male,25-35,2,female
cashier,Hungarian,hu_7,female,35-45,1,female
cashier,Hungarian,hu_8,female,45-55,2,female
cashier,Hungarian,hu_9,male,25-35,2,female
cashier,Hungarian,hu_11,female,45-55,1,female
cashier,Hungarian,hu_12,male,25-35,1,female
cashier,Hungarian,hu_14,female,25-35,0,female
cashier,Hungarian,hu_15,female,35-45,1,female
cashier,Hungarian,hu_16,female,25-35,2,female
cashier,Hungarian,hu_17,female,45-55,0,female
cashier,Hungarian,hu_18,female,45-55,0,female
cashier,Hungarian,hu_19,female,25-35,1,female
cashier,Hungarian,hu_20,female,25-35,1,female
cashier,Hungarian,hu_21,female,25-35,0,female
cashier,Hungarian,hu_22,male,25-35,2,female
cashier,Hungarian,hu_23,male,25-35,0,female
cashier,Hungarian,hu_24,male,25-35,2,female
judge,Hungarian,hu_1,male,25-35,-1,male
judge,Hungarian,hu_2,male,45-55,0,male
judge,Hungarian,hu_3,male,25-35,0,male
judge,Hungarian,hu_4,male,35-45,-1,male
judge,Hungarian,hu_5,male,25-35,0,male
judge,Hungarian,hu_6,male,25-35,0,male
judge,Hungarian,hu_7,female,35-45,-1,male
judge,Hungarian,hu_8,female,45-55,0,male
judge,Hungarian,hu_9,male,25-35,0,male
judge,Hungarian,hu_11,female,45-55,0,male
judge,Hungarian,hu_12,male,25-35,0,male
judge,Hungarian,hu_14,female,25-35,0,male
judge,Hungarian,hu_15,female,35-45,0,male
judge,Hungarian,hu_16,female,25-35,0,male
judge,Hungarian,hu_17,female,45-55,0,male
judge,Hungarian,hu_18,female,45-55,0,male
judge,Hungarian,hu_19,female,25-35,-1,male
judge,Hungarian,hu_20,female,25-35,0,male
judge,Hungarian,hu_21,female,25-35,0,male
judge,Hungarian,hu_22,male,25-35,-1,male
judge,Hungarian,hu_23,male,25-35,0,male
judge,Hungarian,hu_24,male,25-35,1,male
worker,Hungarian,hu_1,male,25-35,0,male
worker,Hungarian,hu_2,male,45-55,-2,male
worker,Hungarian,hu_3,male,25-35,-2,male
worker,Hungarian,hu_4,male,35-45,-1,male
worker,Hungarian,hu_5,male,25-35,0,male
worker,Hungarian,hu_6,male,25-35,-1,male
worker,Hungarian,hu_7,female,35-45,-1,male
worker,Hungarian,hu_8,female,45-55,-2,male
worker,Hungarian,hu_9,male,25-35,-2,male
worker,Hungarian,hu_11,female,45-55,-1,male
worker,Hungarian,hu_12,male,25-35,-2,male
worker,Hungarian,hu_14,female,25-35,-1,male
worker,Hungarian,hu_15,female,35-45,-2,male
worker,Hungarian,hu_16,female,25-35,-1,male
worker,Hungarian,hu_17,female,45-55,0,male
worker,Hungarian,hu_18,female,45-55,-1,male
worker,Hungarian,hu_19,female,25-35,-3,male
worker,Hungarian,hu_20,female,25-35,-2,male
worker,Hungarian,hu_21,female,25-35,-2,male
worker,Hungarian,hu_22,male,25-35,-2,male
worker,Hungarian,hu_23,male,25-35,-3,male
worker,Hungarian,hu_24,male,25-35,-3,male
lifeguard,Hungarian,hu_1,male,25-35,-1,male
lifeguard,Hungarian,hu_2,male,45-55,-2,male
lifeguard,Hungarian,hu_3,male,25-35,0,male
lifeguard,Hungarian,hu_4,male,35-45,0,male
lifeguard,Hungarian,hu_5,male,25-35,0,male
lifeguard,Hungarian,hu_6,male,25-35,-2,male
lifeguard,Hungarian,hu_7,female,35-45,-1,male
lifeguard,Hungarian,hu_8,female,45-55,-2,male
lifeguard,Hungarian,hu_9,male,25-35,-2,male
lifeguard,Hungarian,hu_11,female,45-55,0,male
lifeguard,Hungarian,hu_12,male,25-35,-2,male
lifeguard,Hungarian,hu_14,female,25-35,0,male
lifeguard,Hungarian,hu_15,female,35-45,-2,male
lifeguard,Hungarian,hu_16,female,25-35,-2,male
lifeguard,Hungarian,hu_17,female,45-55,0,male
lifeguard,Hungarian,hu_18,female,45-55,-1,male
lifeguard,Hungarian,hu_19,female,25-35,-1,male
lifeguard,Hungarian,hu_20,female,25-35,-1,male
lifeguard,Hungarian,hu_21,female,25-35,-1,male
lifeguard,Hungarian,hu_22,male,25-35,-2,male
lifeguard,Hungarian,hu_23,male,25-35,-2,male
lifeguard,Hungarian,hu_24,male,25-35,-3,male
