Item,Language,Participant,Participant,Gender,Age,Rating
housekeeper,Hungarian,hu_44,,male,25-35,1
housekeeper,Hungarian,hu_45,,female,<25,2
housekeeper,Hungarian,hu_46,,female,25-35,0
housekeeper,Hungarian,hu_47,,male,25-35,3
housekeeper,Hungarian,hu_48,,male,35-45,3
housekeeper,Hungarian,hu_49,,male,25-35,2
housekeeper,Hungarian,hu_50,,male,25-35,2
housekeeper,Hungarian,hu_51,,male,25-35,2
housekeeper,Hungarian,hu_52,,male,25-35,2
housekeeper,Hungarian,hu_53,,male,25-35,0
housekeeper,Hungarian,hu_54,,male,45-55,0
housekeeper,Hungarian,hu_55,,female,35-45,0
housekeeper,Hungarian,hu_56,,female,25-35,2
housekeeper,Hungarian,hu_58,,female,25-35,2
housekeeper,Hungarian,hu_60,,female,25-35,1
housekeeper,Hungarian,hu_62,,male,25-35,-1
housekeeper,Hungarian,hu_64,,male,<25,2
housekeeper,Hungarian,hu_65,,female,35-45,1
housekeeper,Hungarian,hu_66,,female,25-35,2
housekeeper,Hungarian,hu_67,,male,<25,3
housekeeper,Hungarian,hu_68,,female,35-45,3
housekeeper,Hungarian,hu_70,,male,25-35,0
housekeeper,Hungarian,hu_71,,female,25-35,2
housekeeper,Hungarian,hu_72,,male,<25,1
housekeeper,Hungarian,hu_73,,female,25-35,3
housekeeper,Hungarian,hu_74,,male,25-35,1
housekeeper,Hungarian,hu_76,,male,45-55,1
housekeeper,Hungarian,hu_77,,female,25-35,2
housekeeper,Hungarian,hu_78,,male,35-45,3
housekeeper,Hungarian,hu_79,,female,25-35,0
housekeeper,Hungarian,hu_80,,male,25-35,2
housekeeper,Hungarian,hu_81,,female,25-35,2
housekeeper,Hungarian,hu_82,,male,35-45,2
housekeeper,Hungarian,hu_83,,female,35-45,3
housekeeper,Hungarian,hu_84,,female,25-35,2
housekeeper,Hungarian,hu_85,,female,35-45,2
housekeeper,Hungarian,hu_86,,female,45-55,3
housekeeper,Hungarian,hu_87,,female,<25,1
housekeeper,Hungarian,hu_88,,male,35-45,2
housekeeper,Hungarian,hu_89,,female,<25,2
housekeeper,Hungarian,hu_90,,female,25-35,0
housekeeper,Hungarian,hu_93,,male,25-35,-1
housekeeper,Hungarian,hu_95,,male,35-45,1
housekeeper,Hungarian,hu_96,,male,25-35,2
housekeeper,Hungarian,hu_97,,female,35-45,3
housekeeper,Hungarian,hu_99,,male,35-45,-3
flight attendant,Hungarian,hu_1,,male,25-35,1
flight attendant,Hungarian,hu_2,,male,45-55,2
flight attendant,Hungarian,hu_3,,male,25-35,1
flight attendant,Hungarian,hu_4,,male,35-45,3
flight attendant,Hungarian,hu_5,,male,25-35,0
flight attendant,Hungarian,hu_6,,male,25-35,2
flight attendant,Hungarian,hu_7,,female,35-45,2
flight attendant,Hungarian,hu_8,,female,45-55,2
flight attendant,Hungarian,hu_9,,male,25-35,2
flight attendant,Hungarian,hu_10,,male,35-45,1
flight attendant,Hungarian,hu_11,,female,45-55,1
flight attendant,Hungarian,hu_12,,male,25-35,2
flight attendant,Hungarian,hu_14,,female,25-35,0
flight attendant,Hungarian,hu_15,,female,35-45,1
flight attendant,Hungarian,hu_16,,female,25-35,0
flight attendant,Hungarian,hu_17,,female,45-55,2
flight attendant,Hungarian,hu_18,,female,45-55,1
flight attendant,Hungarian,hu_19,,female,25-35,1
flight attendant,Hungarian,hu_20,,female,25-35,2
flight attendant,Hungarian,hu_21,,female,25-35,1
flight attendant,Hungarian,hu_22,,male,25-35,2
flight attendant,Hungarian,hu_23,,male,25-35,2
flight attendant,Hungarian,hu_24,,male,25-35,2
flight attendant,Hungarian,hu_25,,male,25-35,3
flight attendant,Hungarian,hu_26,,female,25-35,2
flight attendant,Hungarian,hu_28,,male,25-35,2
flight attendant,Hungarian,hu_30,,female,25-35,0
flight attendant,Hungarian,hu_31,,male,25-35,3
flight attendant,Hungarian,hu_33,,male,35-45,1
flight attendant,Hungarian,hu_34,,female,25-35,3
flight attendant,Hungarian,hu_35,,male,35-45,0
flight attendant,Hungarian,hu_36,,male,25-35,1
flight attendant,Hungarian,hu_37,,male,25-35,3
flight attendant,Hungarian,hu_38,,female,35-45,2
flight attendant,Hungarian,hu_40,,male,25-35,1
flight attendant,Hungarian,hu_42,,female,25-35,0
flight attendant,Hungarian,hu_43,,male,25-35,1
flight attendant,Hungarian,hu_44,,male,25-35,0
flight attendant,Hungarian,hu_45,,female,<25,2
flight attendant,Hungarian,hu_46,,female,25-35,0
flight attendant,Hungarian,hu_47,,male,25-35,2
flight attendant,Hungarian,hu_48,,male,35-45,0
flight attendant,Hungarian,hu_49,,male,25-35,3
flight attendant,Hungarian,hu_50,,male,25-35,2
flight attendant,Hungarian,hu_51,,male,25-35,2
flight attendant,Hungarian,hu_52,,male,25-35,2
flight attendant,Hungarian,hu_53,,male,25-35,2
flight attendant,Hungarian,hu_54,,male,45-55,0
flight attendant,Hungarian,hu_55,,female,35-45,-2
flight attendant,Hungarian,hu_56,,female,25-35,1
flight attendant,Hungarian,hu_58,,female,25-35,2
flight attendant,Hungarian,hu_60,,female,25-35,0
flight attendant,Hungarian,hu_62,,male,25-35,0
flight attendant,Hungarian,hu_64,,male,<25,1
flight attendant,Hungarian,hu_65,,female,35-45,2
flight attendant,Hungarian,hu_66,,female,25-35,1
flight attendant,Hungarian,hu_67,,male,<25,2
flight attendant,Hungarian,hu_68,,female,35-45,0
flight attendant,Hungarian,hu_70,,male,25-35,0
flight attendant,Hungarian,hu_71,,female,25-35,2
flight attendant,Hungarian,hu_72,,male,<25,2
flight attendant,Hungarian,hu_73,,female,25-35,2
flight attendant,Hungarian,hu_74,,male,25-35,1
flight attendant,Hungarian,hu_76,,male,45-55,1
flight attendant,Hungarian,hu_77,,female,25-35,2
flight attendant,Hungarian,hu_78,,male,35-45,2
flight attendant,Hungarian,hu_79,,female,25-35,0
flight attendant,Hungarian,hu_80,,male,25-35,1
flight attendant,Hungarian,hu_81,,female,25-35,2
flight attendant,Hungarian,hu_82,,male,35-45,0
flight attendant,Hungarian,hu_83,,female,35-45,3
flight attendant,Hungarian,hu_84,,female,25-35,1
flight attendant,Hungarian,hu_85,,female,35-45,2
flight attendant,Hungarian,hu_86,,female,45-55,1
flight attendant,Hungarian,hu_87,,female,<25,1
flight attendant,Hungarian,hu_88,,male,35-45,2
flight attendant,Hungarian,hu_89,,female,<25,2
flight attendant,Hungarian,hu_90,,female,25-35,0
flight attendant,Hungarian,hu_93,,male,25-35,2
flight attendant,Hungarian,hu_95,,male,35-45,1
flight attendant,Hungarian,hu_96,,male,25-35,1
flight attendant,Hungarian,hu_97,,female,35-45,2
flight attendant,Hungarian,hu_99,,male,35-45,3
waiter,Hungarian,hu_1,,male,25-35,0
waiter,Hungarian,hu_2,,male,45-55,-1
waiter,Hungarian,hu_3,,male,25-35,0
waiter,Hungarian,hu_4,,male,35-45,1
waiter,Hungarian,hu_5,,male,25-35,0
waiter,Hungarian,hu_6,,male,25-35,-1
waiter,Hungarian,hu_7,,female,35-45,-1
waiter,Hungarian,hu_8,,female,45-55,0
waiter,Hungarian,hu_9,,male,25-35,1
waiter,Hungarian,hu_10,,male,35-45,0
waiter,Hungarian,hu_11,,female,45-55,0
waiter,Hungarian,hu_12,,male,25-35,-1
waiter,Hungarian,hu_14,,female,25-35,0
waiter,Hungarian,hu_15,,female,35-45,0
waiter,Hungarian,hu_16,,female,25-35,-1
waiter,Hungarian,hu_17,,female,45-55,0
waiter,Hungarian,hu_18,,female,45-55,0
waiter,Hungarian,hu_19,,female,25-35,-1
waiter,Hungarian,hu_20,,female,25-35,-2
waiter,Hungarian,hu_21,,female,25-35,0
waiter,Hungarian,hu_22,,male,25-35,-3
waiter,Hungarian,hu_23,,male,25-35,0
waiter,Hungarian,hu_24,,male,25-35,-2
waiter,Hungarian,hu_25,,male,25-35,0
waiter,Hungarian,hu_26,,female,25-35,0
waiter,Hungarian,hu_28,,male,25-35,0
waiter,Hungarian,hu_30,,female,25-35,0
waiter,Hungarian,hu_31,,male,25-35,-2
waiter,Hungarian,hu_33,,male,35-45,0
waiter,Hungarian,hu_34,,female,25-35,-3
waiter,Hungarian,hu_35,,male,35-45,0
waiter,Hungarian,hu_36,,male,25-35,0
waiter,Hungarian,hu_37,,male,25-35,-3
waiter,Hungarian,hu_38,,female,35-45,0
waiter,Hungarian,hu_40,,male,25-35,0
waiter,Hungarian,hu_42,,female,25-35,-1
waiter,Hungarian,hu_43,,male,25-35,-1
waiter,Hungarian,hu_44,,male,25-35,0
waiter,Hungarian,hu_45,,female,<25,0
waiter,Hungarian,hu_46,,female,25-35,0
waiter,Hungarian,hu_47,,male,25-35,-2
waiter,Hungarian,hu_48,,male,35-45,0
waiter,Hungarian,hu_49,,male,25-35,-3
waiter,Hungarian,hu_50,,male,25-35,0
waiter,Hungarian,hu_51,,male,25-35,0
waiter,Hungarian,hu_52,,male,25-35,0
waiter,Hungarian,hu_53,,male,25-35,-1
waiter,Hungarian,hu_54,,male,45-55,0
waiter,Hungarian,hu_55,,female,35-45,-2
waiter,Hungarian,hu_56,,female,25-35,-1
waiter,Hungarian,hu_58,,female,25-35,0
waiter,Hungarian,hu_60,,female,25-35,0
waiter,Hungarian,hu_62,,male,25-35,0
waiter,Hungarian,hu_64,,male,<25,-1
waiter,Hungarian,hu_65,,female,35-45,-2
waiter,Hungarian,hu_66,,female,25-35,0
waiter,Hungarian,hu_67,,male,<25,0
waiter,Hungarian,hu_68,,female,35-45,0
waiter,Hungarian,hu_70,,male,25-35,0
waiter,Hungarian,hu_71,,female,25-35,-3
waiter,Hungarian,hu_72,,male,<25,0
waiter,Hungarian,hu_73,,female,25-35,0
waiter,Hungarian,hu_74,,male,25-35,0
waiter,Hungarian,hu_76,,male,45-55,0
waiter,Hungarian,hu_77,,female,25-35,1
waiter,Hungarian,hu_78,,male,35-45,-2
waiter,Hungarian,hu_79,,female,25-35,0
waiter,Hungarian,hu_80,,male,25-35,0
waiter,Hungarian,hu_81,,female,25-35,-1
waiter,Hungarian,hu_82,,male,35-45,0
waiter,Hungarian,hu_83,,female,35-45,-3
waiter,Hungarian,hu_84,,female,25-35,0
waiter,Hungarian,hu_85,,female,35-45,0
waiter,Hungarian,hu_86,,female,45-55,1
waiter,Hungarian,hu_87,,female,<25,0
waiter,Hungarian,hu_88,,male,35-45,0
waiter,Hungarian,hu_89,,female,<25,0
waiter,Hungarian,hu_90,,female,25-35,0
waiter,Hungarian,hu_93,,male,25-35,-1
waiter,Hungarian,hu_95,,male,35-45,-1
waiter,Hungarian,hu_96,,male,25-35,-3
waiter,Hungarian,hu_97,,female,35-45,-1
waiter,Hungarian,hu_99,,male,35-45,-3
doctor,Hungarian,hu_1,,male,25-35,-1
doctor,Hungarian,hu_2,,male,45-55,0
doctor,Hungarian,hu_3,,male,25-35,0
doctor,Hungarian,hu_4,,male,35-45,-1
doctor,Hungarian,hu_5,,male,25-35,0
doctor,Hungarian,hu_6,,male,25-35,0
doctor,Hungarian,hu_7,,female,35-45,-1
doctor,Hungarian,hu_8,,female,45-55,-1
doctor,Hungarian,hu_9,,male,25-35,-2
doctor,Hungarian,hu_10,,male,35-45,0
doctor,Hungarian,hu_11,,female,45-55,0
doctor,Hungarian,hu_12,,male,25-35,-1
doctor,Hungarian,hu_14,,female,25-35,0
doctor,Hungarian,hu_15,,female,35-45,-1
doctor,Hungarian,hu_16,,female,25-35,-1
doctor,Hungarian,hu_17,,female,45-55,0
doctor,Hungarian,hu_18,,female,45-55,0
doctor,Hungarian,hu_19,,female,25-35,0
doctor,Hungarian,hu_20,,female,25-35,-1
doctor,Hungarian,hu_21,,female,25-35,0
doctor,Hungarian,hu_22,,male,25-35,-1
doctor,Hungarian,hu_23,,male,25-35,-1
doctor,Hungarian,hu_24,,male,25-35,0
doctor,Hungarian,hu_25,,male,25-35,0
doctor,Hungarian,hu_26,,female,25-35,0
doctor,Hungarian,hu_28,,male,25-35,0
doctor,Hungarian,hu_30,,female,25-35,-1
doctor,Hungarian,hu_31,,male,25-35,-2
doctor,Hungarian,hu_33,,male,35-45,0
doctor,Hungarian,hu_34,,female,25-35,0
doctor,Hungarian,hu_35,,male,35-45,0
doctor,Hungarian,hu_36,,male,25-35,0
doctor,Hungarian,hu_37,,male,25-35,0
doctor,Hungarian,hu_38,,female,35-45,-2
doctor,Hungarian,hu_40,,male,25-35,0
doctor,Hungarian,hu_42,,female,25-35,0
doctor,Hungarian,hu_43,,male,25-35,0
doctor,Hungarian,hu_44,,male,25-35,0
doctor,Hungarian,hu_45,,female,<25,-2
doctor,Hungarian,hu_46,,female,25-35,0
doctor,Hungarian,hu_47,,male,25-35,0
doctor,Hungarian,hu_48,,male,35-45,0
doctor,Hungarian,hu_49,,male,25-35,-2
doctor,Hungarian,hu_50,,male,25-35,-1
doctor,Hungarian,hu_51,,male,25-35,0
doctor,Hungarian,hu_52,,male,25-35,0
doctor,Hungarian,hu_53,,male,25-35,0
doctor,Hungarian,hu_54,,male,45-55,0
doctor,Hungarian,hu_55,,female,35-45,-2
doctor,Hungarian,hu_56,,female,25-35,-1
doctor,Hungarian,hu_58,,female,25-35,0
doctor,Hungarian,hu_60,,female,25-35,0
doctor,Hungarian,hu_62,,male,25-35,0
doctor,Hungarian,hu_64,,male,<25,0
doctor,Hungarian,hu_65,,female,35-45,0
doctor,Hungarian,hu_66,,female,25-35,0
doctor,Hungarian,hu_67,,male,<25,-1
doctor,Hungarian,hu_68,,female,35-45,0
doctor,Hungarian,hu_70,,male,25-35,0
doctor,Hungarian,hu_71,,female,25-35,0
doctor,Hungarian,hu_72,,male,<25,0
doctor,Hungarian,hu_73,,female,25-35,-1
doctor,Hungarian,hu_74,,male,25-35,-2
doctor,Hungarian,hu_76,,male,45-55,0
doctor,Hungarian,hu_77,,female,25-35,-1
doctor,Hungarian,hu_78,,male,35-45,-2
doctor,Hungarian,hu_79,,female,25-35,0
doctor,Hungarian,hu_80,,male,25-35,0
doctor,Hungarian,hu_81,,female,25-35,0
doctor,Hungarian,hu_82,,male,35-45,0
doctor,Hungarian,hu_83,,female,35-45,0
doctor,Hungarian,hu_84,,female,25-35,0
doctor,Hungarian,hu_85,,female,35-45,0
doctor,Hungarian,hu_86,,female,45-55,0
doctor,Hungarian,hu_87,,female,<25,0
doctor,Hungarian,hu_88,,male,35-45,-1
doctor,Hungarian,hu_89,,female,<25,0
doctor,Hungarian,hu_90,,female,25-35,0
doctor,Hungarian,hu_93,,male,25-35,-1
doctor,Hungarian,hu_95,,male,35-45,-1
doctor,Hungarian,hu_96,,male,25-35,-3
doctor,Hungarian,hu_97,,female,35-45,-1
doctor,Hungarian,hu_99,,male,35-45,0
hairdresser,Hungarian,hu_1,,male,25-35,0
hairdresser,Hungarian,hu_2,,male,45-55,1
hairdresser,Hungarian,hu_3,,male,25-35,0
hairdresser,Hungarian,hu_4,,male,35-45,0
hairdresser,Hungarian,hu_5,,male,25-35,0
hairdresser,Hungarian,hu_6,,male,25-35,1
hairdresser,Hungarian,hu_7,,female,35-45,1
hairdresser,Hungarian,hu_8,,female,45-55,2
hairdresser,Hungarian,hu_9,,male,25-35,2
hairdresser,Hungarian,hu_10,,male,35-45,1
hairdresser,Hungarian,hu_11,,female,45-55,1
hairdresser,Hungarian,hu_12,,male,25-35,2
hairdresser,Hungarian,hu_14,,female,25-35,2
hairdresser,Hungarian,hu_15,,female,35-45,2
hairdresser,Hungarian,hu_16,,female,25-35,2
hairdresser,Hungarian,hu_17,,female,45-55,0
hairdresser,Hungarian,hu_18,,female,45-55,0
hairdresser,Hungarian,hu_19,,female,25-35,1
hairdresser,Hungarian,hu_20,,female,25-35,1
hairdresser,Hungarian,hu_21,,female,25-35,0
hairdresser,Hungarian,hu_22,,male,25-35,2
hairdresser,Hungarian,hu_23,,male,25-35,0
hairdresser,Hungarian,hu_24,,male,25-35,2
hairdresser,Hungarian,hu_25,,male,25-35,1
hairdresser,Hungarian,hu_26,,female,25-35,0
hairdresser,Hungarian,hu_28,,male,25-35,2
hairdresser,Hungarian,hu_30,,female,25-35,2
hairdresser,Hungarian,hu_31,,male,25-35,3
hairdresser,Hungarian,hu_33,,male,35-45,2
hairdresser,Hungarian,hu_34,,female,25-35,1
hairdresser,Hungarian,hu_35,,male,35-45,0
hairdresser,Hungarian,hu_36,,male,25-35,1
hairdresser,Hungarian,hu_37,,male,25-35,0
hairdresser,Hungarian,hu_38,,female,35-45,2
hairdresser,Hungarian,hu_40,,male,25-35,1
hairdresser,Hungarian,hu_42,,female,25-35,1
hairdresser,Hungarian,hu_43,,male,25-35,1
hairdresser,Hungarian,hu_44,,male,25-35,0
hairdresser,Hungarian,hu_45,,female,<25,2
hairdresser,Hungarian,hu_46,,female,25-35,0
hairdresser,Hungarian,hu_47,,male,25-35,2
hairdresser,Hungarian,hu_48,,male,35-45,1
hairdresser,Hungarian,hu_49,,male,25-35,0
hairdresser,Hungarian,hu_50,,male,25-35,0
hairdresser,Hungarian,hu_51,,male,25-35,0
hairdresser,Hungarian,hu_52,,male,25-35,1
hairdresser,Hungarian,hu_53,,male,25-35,1
hairdresser,Hungarian,hu_54,,male,45-55,0
hairdresser,Hungarian,hu_55,,female,35-45,2
hairdresser,Hungarian,hu_56,,female,25-35,2
hairdresser,Hungarian,hu_58,,female,25-35,1
hairdresser,Hungarian,hu_60,,female,25-35,0
hairdresser,Hungarian,hu_62,,male,25-35,0
hairdresser,Hungarian,hu_64,,male,<25,0
hairdresser,Hungarian,hu_65,,female,35-45,0
hairdresser,Hungarian,hu_66,,female,25-35,1
hairdresser,Hungarian,hu_67,,male,<25,1
hairdresser,Hungarian,hu_68,,female,35-45,0
hairdresser,Hungarian,hu_70,,male,25-35,0
hairdresser,Hungarian,hu_71,,female,25-35,0
hairdresser,Hungarian,hu_72,,male,<25,1
hairdresser,Hungarian,hu_73,,female,25-35,1
hairdresser,Hungarian,hu_74,,male,25-35,2
hairdresser,Hungarian,hu_76,,male,45-55,0
hairdresser,Hungarian,hu_77,,female,25-35,1
hairdresser,Hungarian,hu_78,,male,35-45,2
hairdresser,Hungarian,hu_79,,female,25-35,0
hairdresser,Hungarian,hu_80,,male,25-35,2
hairdresser,Hungarian,hu_81,,female,25-35,0
hairdresser,Hungarian,hu_82,,male,35-45,0
hairdresser,Hungarian,hu_83,,female,35-45,2
hairdresser,Hungarian,hu_84,,female,25-35,1
hairdresser,Hungarian,hu_85,,female,35-45,0
hairdresser,Hungarian,hu_86,,female,45-55,0
hairdresser,Hungarian,hu_87,,female,<25,0
hairdresser,Hungarian,hu_88,,male,35-45,1
hairdresser,Hungarian,hu_89,,female,<25,2
hairdresser,Hungarian,hu_90,,female,25-35,0
hairdresser,Hungarian,hu_93,,male,25-35,1
hairdresser,Hungarian,hu_95,,male,35-45,1
hairdresser,Hungarian,hu_96,,male,25-35,1
hairdresser,Hungarian,hu_97,,female,35-45,2
hairdresser,Hungarian,hu_99,,male,35-45,2
farmer,Hungarian,hu_1,,male,25-35,-1
farmer,Hungarian,hu_2,,male,45-55,-2
farmer,Hungarian,hu_3,,male,25-35,-2
farmer,Hungarian,hu_4,,male,35-45,-1
farmer,Hungarian,hu_5,,male,25-35,-1
farmer,Hungarian,hu_6,,male,25-35,-1
farmer,Hungarian,hu_7,,female,35-45,-2
farmer,Hungarian,hu_8,,female,45-55,-2
farmer,Hungarian,hu_9,,male,25-35,-2
farmer,Hungarian,hu_10,,male,35-45,-3
farmer,Hungarian,hu_11,,female,45-55,-1
farmer,Hungarian,hu_12,,male,25-35,-2
farmer,Hungarian,hu_14,,female,25-35,0
farmer,Hungarian,hu_15,,female,35-45,-1
farmer,Hungarian,hu_16,,female,25-35,-2
farmer,Hungarian,hu_17,,female,45-55,0
farmer,Hungarian,hu_18,,female,45-55,-1
farmer,Hungarian,hu_19,,female,25-35,-2
farmer,Hungarian,hu_20,,female,25-35,-2
farmer,Hungarian,hu_21,,female,25-35,-1
farmer,Hungarian,hu_22,,male,25-35,-2
farmer,Hungarian,hu_23,,male,25-35,-3
farmer,Hungarian,hu_24,,male,25-35,-2
farmer,Hungarian,hu_25,,male,25-35,-3
farmer,Hungarian,hu_26,,female,25-35,0
farmer,Hungarian,hu_28,,male,25-35,-3
farmer,Hungarian,hu_30,,female,25-35,-3
farmer,Hungarian,hu_31,,male,25-35,-3
farmer,Hungarian,hu_33,,male,35-45,-3
farmer,Hungarian,hu_34,,female,25-35,-3
farmer,Hungarian,hu_35,,male,35-45,0
farmer,Hungarian,hu_36,,male,25-35,-1
farmer,Hungarian,hu_37,,male,25-35,-2
farmer,Hungarian,hu_38,,female,35-45,-2
farmer,Hungarian,hu_40,,male,25-35,-2
farmer,Hungarian,hu_42,,female,25-35,-1
farmer,Hungarian,hu_43,,male,25-35,-1
farmer,Hungarian,hu_44,,male,25-35,-1
farmer,Hungarian,hu_45,,female,<25,-3
farmer,Hungarian,hu_46,,female,25-35,-1
farmer,Hungarian,hu_47,,male,25-35,-2
farmer,Hungarian,hu_48,,male,35-45,-2
farmer,Hungarian,hu_49,,male,25-35,-3
farmer,Hungarian,hu_50,,male,25-35,-2
farmer,Hungarian,hu_51,,male,25-35,0
farmer,Hungarian,hu_52,,male,25-35,-1
farmer,Hungarian,hu_53,,male,25-35,-2
farmer,Hungarian,hu_54,,male,45-55,0
farmer,Hungarian,hu_55,,female,35-45,-3
farmer,Hungarian,hu_56,,female,25-35,-1
farmer,Hungarian,hu_58,,female,25-35,-1
farmer,Hungarian,hu_60,,female,25-35,0
farmer,Hungarian,hu_62,,male,25-35,0
farmer,Hungarian,hu_64,,male,<25,-2
farmer,Hungarian,hu_65,,female,35-45,-1
farmer,Hungarian,hu_66,,female,25-35,0
farmer,Hungarian,hu_67,,male,<25,-2
farmer,Hungarian,hu_68,,female,35-45,-1
farmer,Hungarian,hu_70,,male,25-35,0
farmer,Hungarian,hu_71,,female,25-35,-2
farmer,Hungarian,hu_72,,male,<25,-1
farmer,Hungarian,hu_73,,female,25-35,-3
farmer,Hungarian,hu_74,,male,25-35,-3
farmer,Hungarian,hu_76,,male,45-55,0
farmer,Hungarian,hu_77,,female,25-35,-3
farmer,Hungarian,hu_78,,male,35-45,-3
farmer,Hungarian,hu_79,,female,25-35,-2
farmer,Hungarian,hu_80,,male,25-35,-2
farmer,Hungarian,hu_81,,female,25-35,-2
farmer,Hungarian,hu_82,,male,35-45,-1
farmer,Hungarian,hu_83,,female,35-45,-3
farmer,Hungarian,hu_84,,female,25-35,-3
farmer,Hungarian,hu_85,,female,35-45,0
farmer,Hungarian,hu_86,,female,45-55,-1
farmer,Hungarian,hu_87,,female,<25,-2
farmer,Hungarian,hu_88,,male,35-45,-3
farmer,Hungarian,hu_89,,female,<25,-2
farmer,Hungarian,hu_90,,female,25-35,0
farmer,Hungarian,hu_93,,male,25-35,-1
farmer,Hungarian,hu_95,,male,35-45,-1
farmer,Hungarian,hu_96,,male,25-35,-2
farmer,Hungarian,hu_97,,female,35-45,-1
farmer,Hungarian,hu_99,,male,35-45,-3
caregiver,Hungarian,hu_1,,male,25-35,0
caregiver,Hungarian,hu_2,,male,45-55,2
caregiver,Hungarian,hu_3,,male,25-35,0
caregiver,Hungarian,hu_4,,male,35-45,3
caregiver,Hungarian,hu_5,,male,25-35,0
caregiver,Hungarian,hu_6,,male,25-35,2
caregiver,Hungarian,hu_7,,female,35-45,-1
caregiver,Hungarian,hu_8,,female,45-55,2
caregiver,Hungarian,hu_9,,male,25-35,2
caregiver,Hungarian,hu_10,,male,35-45,2
caregiver,Hungarian,hu_11,,female,45-55,1
caregiver,Hungarian,hu_12,,male,25-35,2
caregiver,Hungarian,hu_14,,female,25-35,0
caregiver,Hungarian,hu_15,,female,35-45,2
caregiver,Hungarian,hu_16,,female,25-35,1
caregiver,Hungarian,hu_17,,female,45-55,0
caregiver,Hungarian,hu_18,,female,45-55,0
caregiver,Hungarian,hu_19,,female,25-35,2
caregiver,Hungarian,hu_20,,female,25-35,1
caregiver,Hungarian,hu_21,,female,25-35,0
caregiver,Hungarian,hu_22,,male,25-35,2
caregiver,Hungarian,hu_23,,male,25-35,0
caregiver,Hungarian,hu_24,,male,25-35,1
caregiver,Hungarian,hu_25,,male,25-35,1
caregiver,Hungarian,hu_26,,female,25-35,0
caregiver,Hungarian,hu_28,,male,25-35,2
caregiver,Hungarian,hu_30,,female,25-35,2
caregiver,Hungarian,hu_31,,male,25-35,3
caregiver,Hungarian,hu_33,,male,35-45,2
caregiver,Hungarian,hu_34,,female,25-35,3
caregiver,Hungarian,hu_35,,male,35-45,0
caregiver,Hungarian,hu_36,,male,25-35,0
caregiver,Hungarian,hu_37,,male,25-35,3
caregiver,Hungarian,hu_38,,female,35-45,2
caregiver,Hungarian,hu_40,,male,25-35,1
caregiver,Hungarian,hu_42,,female,25-35,0
caregiver,Hungarian,hu_43,,male,25-35,1
caregiver,Hungarian,hu_44,,male,25-35,0
caregiver,Hungarian,hu_45,,female,<25,1
caregiver,Hungarian,hu_46,,female,25-35,0
caregiver,Hungarian,hu_47,,male,25-35,-1
caregiver,Hungarian,hu_48,,male,35-45,0
caregiver,Hungarian,hu_49,,male,25-35,1
caregiver,Hungarian,hu_50,,male,25-35,1
caregiver,Hungarian,hu_51,,male,25-35,0
caregiver,Hungarian,hu_52,,male,25-35,1
caregiver,Hungarian,hu_53,,male,25-35,1
caregiver,Hungarian,hu_54,,male,45-55,0
caregiver,Hungarian,hu_55,,female,35-45,-2
caregiver,Hungarian,hu_56,,female,25-35,2
caregiver,Hungarian,hu_58,,female,25-35,1
caregiver,Hungarian,hu_60,,female,25-35,0
caregiver,Hungarian,hu_62,,male,25-35,0
caregiver,Hungarian,hu_64,,male,<25,0
caregiver,Hungarian,hu_65,,female,35-45,1
caregiver,Hungarian,hu_66,,female,25-35,0
caregiver,Hungarian,hu_67,,male,<25,3
caregiver,Hungarian,hu_68,,female,35-45,0
caregiver,Hungarian,hu_70,,male,25-35,0
caregiver,Hungarian,hu_71,,female,25-35,1
caregiver,Hungarian,hu_72,,male,<25,0
caregiver,Hungarian,hu_73,,female,25-35,2
caregiver,Hungarian,hu_74,,male,25-35,0
caregiver,Hungarian,hu_76,,male,45-55,0
caregiver,Hungarian,hu_77,,female,25-35,3
caregiver,Hungarian,hu_78,,male,35-45,2
caregiver,Hungarian,hu_79,,female,25-35,0
caregiver,Hungarian,hu_80,,male,25-35,0
caregiver,Hungarian,hu_81,,female,25-35,2
caregiver,Hungarian,hu_82,,male,35-45,0
caregiver,Hungarian,hu_83,,female,35-45,0
caregiver,Hungarian,hu_84,,female,25-35,2
caregiver,Hungarian,hu_85,,female,35-45,0
caregiver,Hungarian,hu_86,,female,45-55,1
caregiver,Hungarian,hu_87,,female,<25,0
caregiver,Hungarian,hu_88,,male,35-45,2
caregiver,Hungarian,hu_89,,female,<25,0
caregiver,Hungarian,hu_90,,female,25-35,0
caregiver,Hungarian,hu_93,,male,25-35,-1
caregiver,Hungarian,hu_95,,male,35-45,1
caregiver,Hungarian,hu_96,,male,25-35,-1
caregiver,Hungarian,hu_97,,female,35-45,-1
caregiver,Hungarian,hu_99,,male,35-45,0
shop assistant,Hungarian,hu_1,,male,25-35,1
shop assistant,Hungarian,hu_2,,male,45-55,2
shop assistant,Hungarian,hu_3,,male,25-35,0
shop assistant,Hungarian,hu_4,,male,35-45,2
shop assistant,Hungarian,hu_5,,male,25-35,0
shop assistant,Hungarian,hu_6,,male,25-35,1
shop assistant,Hungarian,hu_7,,female,35-45,1
shop assistant,Hungarian,hu_8,,female,45-55,2
shop assistant,Hungarian,hu_9,,male,25-35,2
shop assistant,Hungarian,hu_10,,male,35-45,2
shop assistant,Hungarian,hu_11,,female,45-55,1
shop assistant,Hungarian,hu_12,,male,25-35,0
